,y_pred
0,3301.48
1,3178.16
2,3242.345
3,3224.23
4,5308.9
5,515.13
6,808.1741666666667
7,901.6166666666667
8,7562.857952380949
9,5528.47
10,1971.33
11,3582.48
12,7248.719
13,3878.36
14,2074.8
15,4892.97
16,725.7427857142857
17,15441.81
18,7864.213333333334
19,12834.456666666667
20,4319.83
21,3230.45
22,650.4483333333334
23,837.6483333333334
24,8326.053333333333
25,7808.810666666666
26,5283.440333333335
27,10665.88
28,6869.05
29,3500.87
30,6421.14
31,5192.2225
32,1079.08
33,2130.885
34,639.48
35,4133.945
36,5710.831666666666
37,1633.5233333333335
38,911.8235714285714
39,965.29
40,687.5245
41,3863.7
42,841.9766666666666
43,10742.4
44,1589.3
45,3672.85
46,3289.6
47,5254.68
48,1074.15
49,2589.86
50,538.4576666666667
51,11201.7885
52,748.176
53,589.86
54,865.9119999999999
55,635.6388571428572
56,2788.785
57,571.1975
58,787.3716666666666
59,8215.1
60,2051.69
61,3807.31
62,580.26
63,2898.271666666666
64,1916.2173333333333
65,944.6940000000001
66,1782.0478333333335
67,5421.353333333333
68,4433.210666666667
69,660.8071666666667
70,902.428
71,914.4640476190476
72,6305.6575
73,2522.288
74,1344.08
75,9030.48
76,1087.817
77,1374.21
78,469.1535
79,2410.94
80,1881.8675
81,772.7239999999999
82,7071.65
83,5484.85
84,630.2666666666668
85,4968.48
86,798.1683333333334
87,767.73
88,2171.19
89,564.345
90,11339.31
91,7095.710833333333
92,1343.96
93,6653.87
94,7422.670357142857
95,7953.0779999999995
96,2828.06
97,1139.09
98,13031.006666666668
99,9618.41
100,603.6133333333332
101,7282.28
102,9902.111428571428
103,6451.305
104,1756.0079999999998
105,6199.232666666666
106,962.2633333333333
107,4084.49
108,6630.52
109,681.0143333333332
110,2515.4230000000002
111,580.47
112,789.705
113,1409.68
114,6640.653333333334
115,850.9921428571429
116,2544.436
117,12291.62
118,4538.96
119,560.51
120,2271.696
121,806.2
122,4327.415666666667
123,12729.31
124,1049.3473333333334
125,3662.735
126,6766.03
127,4098.754999999999
128,607.1735
129,744.06
