carat,cut,color,clarity,depth,table,y_pred
1.0,5,7,7,56.3,64.0,3260.09
0.83,1,4,6,62.3,58.0,2953.59
1.0,5,2,7,67.0,53.0,3374.19
1.0,5,5,7,66.5,62.0,3265.47
1.2,3,6,6,62.6,57.0,5374.86
0.32,4,6,4,63.2,54.0,538.9916666666667
0.41,2,2,7,62.8,57.0,784.6306666666667
0.32,2,3,2,62.0,55.0,867.0716666666666
1.01,2,3,4,62.5,54.0,8318.37
1.21,1,6,6,61.6,58.0,5333.133333333332
0.71,4,3,7,64.0,58.0,2033.0975
0.7,2,2,3,62.6,54.0,3580.01
1.11,2,4,5,61.6,56.0,7162.976
1.02,5,5,6,64.6,55.0,3856.98
0.72,2,7,4,62.7,57.0,2097.25
0.91,2,2,6,62.3,55.0,4897.05
0.32,2,2,5,62.1,55.0,773.4120000000001
1.53,3,3,4,63.2,58.0,15728.26
1.03,1,2,4,62.4,58.0,7760.048333333332
1.71,2,5,5,62.1,56.0,13365.719
0.9,2,2,6,63.0,56.0,4139.34
0.81,1,2,6,60.8,59.0,3248.51
0.36,3,2,6,62.4,55.0,640.015
0.36,2,3,5,61.5,55.0,804.8761904761907
1.1,2,3,5,60.0,57.0,7705.608666666667
1.2,1,4,5,62.1,61.0,7649.015476190477
1.08,1,3,6,61.0,59.0,5313.445333333334
1.21,2,2,4,62.2,57.0,10513.975
1.21,1,5,5,59.3,60.0,6864.81
0.75,2,3,3,61.9,54.0,3581.8833333333337
1.01,4,2,5,56.7,61.0,6397.876666666667
1.02,2,5,6,60.9,57.0,5167.966666666666
0.51,1,7,5,61.5,58.0,1074.21
0.7,3,6,4,62.7,58.0,2113.07
0.37,2,5,6,59.7,56.0,648.3
0.95,1,2,7,60.7,59.0,4087.965
1.01,1,1,6,61.8,58.0,5550.255
0.51,2,3,5,60.6,57.0,1614.045
0.34,2,1,5,62.5,57.0,866.7373333333334
0.53,4,6,6,61.3,62.0,980.43
0.34,2,1,6,62.3,57.0,648.1475
0.8,2,3,5,61.4,56.0,3647.1576666666674
0.32,2,1,5,62.6,55.0,917.9883333333335
1.59,3,4,6,62.3,60.0,10874.841999999999
0.55,1,4,5,59.6,59.0,1577.63
0.9,3,4,6,63.4,54.0,3607.059
1.0,5,6,6,66.0,56.0,3631.03
1.2,1,7,4,59.1,61.0,5100.82
0.5,4,4,7,63.8,57.0,1021.0183333333333
0.72,3,6,2,62.8,56.0,2576.0560714285716
0.34,3,4,6,60.8,59.0,553.7198333333333
1.28,2,4,1,61.7,56.0,11419.12
0.39,2,3,6,62.5,55.0,721.6066666666667
0.24,3,3,2,61.7,56.0,567.6
0.32,2,1,5,61.3,56.0,843.07
0.32,1,4,5,61.5,60.0,679.505
0.88,4,6,6,60.2,64.0,2768.6766666666663
0.31,4,1,7,63.7,55.0,557.6755
0.3,2,5,2,62.5,53.8,810.5033333333333
1.53,1,4,7,58.7,59.0,7787.58
0.62,3,4,4,60.1,58.0,1940.62
0.7,3,2,2,61.9,58.0,3982.61
0.32,4,2,5,64.1,54.0,597.06
0.7,3,3,4,61.8,59.0,2855.325
0.55,2,5,2,62.4,56.0,1958.5216666666665
0.46,5,3,6,66.3,56.0,977.5216666666668
0.56,2,3,5,62.0,56.0,1759.827833333333
1.07,1,5,5,62.4,59.0,5408.84
1.01,1,3,7,62.6,60.0,4450.396000000001
0.34,2,4,5,60.8,56.0,684.4966666666666
0.4,2,5,4,61.2,55.0,943.2330000000001
0.41,2,4,5,62.2,57.0,973.2772857142857
1.08,1,1,6,61.6,56.0,6367.55
0.71,2,1,7,62.5,57.0,2464.733333333333
0.52,3,2,6,61.0,61.0,1359.03
1.1,2,4,3,61.7,56.0,9191.48
0.4,4,4,2,59.1,61.0,1076.6633333333332
0.51,3,2,6,63.5,54.0,1387.9066666666665
